sno,student_name,batch,email,week_1_attendance_ratio,week_2_attendance_ratio,week_3_attendance_ratio,week_4_attendance_ratio,week_5_attendance_ratio,week_6_attendance_ratio,week_7_attendance_ratio,week_8_attendance_ratio,week_9_attendance_ratio,week_10_attendance_ratio,week_11_attendance_ratio,week_12_attendance_ratio
1,Aayush Sharma,Autumn 2025,aayush_sharma_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2,Binita Rijal,Autumn 2025,binita_rijal_a25@sunway.edu.np,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3,Chirag Gautam,Autumn 2025,chirag_gautam_a25@sunway.edu.np,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
4,Dinesh Kunwar,Autumn 2025,dinesh_kunwar_a25@sunway.edu.np,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
5,Elina Bista,Autumn 2025,elina_bista_a25@sunway.edu.np,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
6,Firoj Ansari,Autumn 2025,firoj_ansari_a25@sunway.edu.np,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
7,Gaurav Kafle,Autumn 2025,gaurav_kafle_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
8,Hema Lama,Autumn 2025,hema_lama_a25@sunway.edu.np,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
9,Ishan Koirala,Autumn 2025,ishan_koirala_a25@sunway.edu.np,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
10,Juna Khadgi,Autumn 2025,juna_khadgi_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
11,Kamal Rokaya,Autumn 2025,kamal_rokaya_a25@sunway.edu.np,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
12,Lalita Budhathoki,Autumn 2025,lalita_budhathoki_a25@sunway.edu.np,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
13,Manoj Dong,Autumn 2025,manoj_dong_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
14,Nirmala Karki,Autumn 2025,nirmala_karki_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
15,Omkar Pokharel,Autumn 2025,omkar_pokharel_a25@sunway.edu.np,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
16,Pabitra Dhakal,Autumn 2025,pabitra_dhakal_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
17,Qasim Miya,Autumn 2025,qasim_miya_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
18,Ramesh Suwal,Autumn 2025,ramesh_suwal_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19,Sanjay Khadka,Autumn 2025,sanjay_khadka_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
20,Tara Ghale,Autumn 2025,tara_ghale_a25@sunway.edu.np,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
21,Ujjwal Basnet,Autumn 2025,ujjwal_basnet_a25@sunway.edu.np,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
22,Bipin Sigdel,Autumn 2025,bipin_sigdel_a25@sunway.edu.np,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
23,Chetana Thagunna,Autumn 2025,chetana_thagunna_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
24,Dev Rai,Autumn 2025,dev_rai_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
25,Esha Karki,Autumn 2025,esha_karki_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
26,Ganesh Baral,Autumn 2025,ganesh_baral_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
27,Hari Bogati,Autumn 2025,hari_bogati_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
28,Indira Sapkota,Autumn 2025,indira_sapkota_a25@sunway.edu.np,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
29,Jeevan Giri,Autumn 2025,jeevan_giri_a25@sunway.edu.np,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
30,Kabita Chhetri,Autumn 2025,kabita_chhetri_a25@sunway.edu.np,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
31,Lokesh Karki,Autumn 2025,lokesh_karki_a25@sunway.edu.np,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
32,Mamata Shahi,Autumn 2025,mamata_shahi_a25@sunway.edu.np,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
33,Nawaraj Bista,Autumn 2025,nawaraj_bista_a25@sunway.edu.np,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
